inflected_form	lemma	pos
christianisation's	christianisation	noun
christianisations	christianisation	noun
christianisations'	christianisation	noun
christianities	christianity	noun
christianities'	christianity	noun
christianity	christianity	noun
christianity's	christianity	noun
christianization	christianization	noun
christianization's	christianization	noun
christianizations	christianization	noun
christianizations'	christianization	noun
christians	christian	noun
christians'	christian	noun
christological	christological	adjective
christologicaler	christological	adjective
christologicalest	christological	adjective
christologies	christology	noun
christologies'	christology	noun
christology	christology	noun
christology's	christology	noun
christs	christ	noun
christs'	christ	noun
chromatic	chromatic	adjective
chromaticer	chromatic	adjective
chromaticest	chromatic	adjective
chrome	chrome	noun
chrome	chrome	verb
chrome's	chrome	noun
chromed	chrome	verb
chromes	chrome	verb
chroming	chrome	verb
chromosome	chromosome	noun
chromosome's	chromosome	noun
chromosomes	chromosome	noun
chromosomes'	chromosome	noun
chronic	chronic	adjective
chronicer	chronic	adjective
chronicest	chronic	adjective
chronicle	chronicle	noun
chronicle	chronicle	verb
chronicle's	chronicle	noun
chronicled	chronicle	verb
chronicler	chronicler	noun
chronicler's	chronicler	noun
chroniclers	chronicler	noun
chroniclers'	chronicler	noun
chronicles	chronicle	noun
chronicles	chronicle	verb
chronicles'	chronicle	noun
chronicling	chronicle	verb
chronological	chronological	adjective
chronologicaler	chronological	adjective
chronologicalest	chronological	adjective
chronologies	chronology	noun
chronologies'	chronology	noun
chronology	chronology	noun
chronology's	chronology	noun
chrysanthemum	chrysanthemum	noun
chrysanthemum's	chrysanthemum	noun
chrysanthemums	chrysanthemum	noun
chrysanthemums'	chrysanthemum	noun
chubbier	chubby	adjective
chubbiest	chubby	adjective
chubby	chubby	adjective
chuck	chuck	noun
chuck	chuck	verb
chuck's	chuck	noun
chucked	chuck	verb
chucking	chuck	verb
chucks	chuck	noun
chucks	chuck	verb
chucks'	chuck	noun
chum	chum	noun
chum's	chum	noun
chums	chum	noun
chums'	chum	noun
chunk	chunk	noun
chunk	chunk	verb
chunk's	chunk	noun
chunked	chunk	verb
chunkier	chunky	adjective
chunkiest	chunky	adjective
chunking	chunk	verb
chunks	chunk	noun
chunks	chunk	verb
chunks'	chunk	noun
chunky	chunky	adjective
church	church	noun
church's	church	noun
churches	church	noun
churches'	church	noun
churchman	churchman	noun
churchman's	churchman	noun
churchmen	churchman	noun
churchmen's	churchman	noun
churchyard	churchyard	noun
churchyard's	churchyard	noun
churchyards	churchyard	noun
churchyards'	churchyard	noun
churn	churn	noun
churn	churn	verb
churn's	churn	noun
churned	churn	verb
churning	churn	verb
churning	churning	adjective
churninger	churning	adjective
churningest	churning	adjective
churns	churn	noun
churns	churn	verb
churns'	churn	noun
chute	chute	noun
chute	chute	verb
chute's	chute	noun
chuted	chute	verb
chutes	chute	noun
chutes	chute	verb
chutes'	chute	noun
chuting	chute	verb
chutney	chutney	noun
chutney's	chutney	noun
chutneys	chutney	noun
chutneys'	chutney	noun
cia	cia	noun
cia's	cia	noun
ciao	ciao	noun
ciao's	ciao	noun
ciaos	ciao	noun
ciaos'	ciao	noun
cias	cia	noun
cias'	cia	noun
cicada	cicada	noun
cicada's	cicada	noun
cicadae	cicada	noun
cicadae's	cicada	noun
cicadas	cicada	noun
cicadas'	cicada	noun
cider	cider	noun
cider's	cider	noun
ciders	cider	noun
ciders'	cider	noun
cigar	cigar	noun
cigar's	cigar	noun
cigarette	cigarette	noun
cigarette's	cigarette	noun
cigarettes	cigarette	noun
cigarettes'	cigarette	noun
cigars	cigar	noun
cigars'	cigar	noun
cimmerian	cimmerian	adjective
cimmerianer	cimmerian	adjective
cimmerianest	cimmerian	adjective
cinder	cinder	noun
cinder's	cinder	noun
cinderella	cinderella	noun
cinderella's	cinderella	noun
cinderellas	cinderella	noun
cinderellas'	cinderella	noun
cinders	cinder	noun
cinders'	cinder	noun
cinema	cinema	noun
cinema's	cinema	noun
cinemas	cinema	noun
cinemas'	cinema	noun
cinematic	cinematic	adjective
cinematicer	cinematic	adjective
cinematicest	cinematic	adjective
cinematographer	cinematographer	noun
cinematographer's	cinematographer	noun
cinematographers	cinematographer	noun
cinematographers'	cinematographer	noun
cinematography	cinematography	noun
cinematography's	cinematography	noun
cinnamon	cinnamon	noun
cinnamon's	cinnamon	noun
cinnamons	cinnamon	noun
cinnamons'	cinnamon	noun
cio	cio	noun
cio's	cio	noun
cios	cio	noun
cios'	cio	noun
cipher	cipher	noun
cipher	cipher	verb
cipher's	cipher	noun
ciphered	cipher	verb
ciphering	cipher	verb
ciphers	cipher	noun
ciphers	cipher	verb
ciphers'	cipher	noun
circadian	circadian	adjective
circadianer	circadian	adjective
circadianest	circadian	adjective
circe	circe	noun
circe's	circe	noun
circes	circe	noun
circes'	circe	noun
circle	circle	noun
circle	circle	verb
circle's	circle	noun
circled	circle	verb
circles	circle	noun
circles	circle	verb
circles'	circle	noun
circling	circle	verb
circuit	circuit	noun
circuit	circuit	verb
circuit's	circuit	noun
circuited	circuit	verb
circuiting	circuit	verb
circuitous	circuitous	adjective
circuitouser	circuitous	adjective
circuitousest	circuitous	adjective
circuitries	circuitry	noun
circuitries'	circuitry	noun
circuitry	circuitry	noun
circuitry's	circuitry	noun
circuits	circuit	noun
circuits	circuit	verb
circuits'	circuit	noun
circular	circular	adjective
circular	circular	noun
circular's	circular	noun
circularer	circular	adjective
circularest	circular	adjective
circulars	circular	noun
circulars'	circular	noun
circulate	circulate	verb
circulated	circulate	verb
circulates	circulate	verb
circulating	circulate	verb
circulating	circulating	adjective
circulatinger	circulating	adjective
circulatingest	circulating	adjective
circulation	circulation	noun
circulation's	circulation	noun
circulations	circulation	noun
circulations'	circulation	noun
circulatorier	circulatory	adjective
circulatoriest	circulatory	adjective
circulatory	circulatory	adjective
circumcision	circumcision	noun
circumcision's	circumcision	noun
circumcisions	circumcision	noun
circumcisions'	circumcision	noun
circumference	circumference	noun
circumference's	circumference	noun
circumferences	circumference	noun
circumferences'	circumference	noun
circumnavigate	circumnavigate	verb
circumnavigated	circumnavigate	verb
circumnavigates	circumnavigate	verb
circumnavigating	circumnavigate	verb
circumnavigation	circumnavigation	noun
circumnavigation's	circumnavigation	noun
circumnavigations	circumnavigation	noun
circumnavigations'	circumnavigation	noun
circumscribed	circumscribed	adjective
circumscribeder	circumscribed	adjective
circumscribedest	circumscribed	adjective
circumstance	circumstance	noun
circumstance's	circumstance	noun
circumstances	circumstance	noun
circumstances'	circumstance	noun
circumstantial	circumstantial	adjective
circumstantialer	circumstantial	adjective
circumstantialest	circumstantial	adjective
circumvent	circumvent	verb
circumvented	circumvent	verb
circumventing	circumvent	verb
circumvention	circumvention	noun
circumvention's	circumvention	noun
circumventions	circumvention	noun
circumventions'	circumvention	noun
circumvents	circumvent	verb
cistercian	cistercian	noun
cistercian's	cistercian	noun
cistercians	cistercian	noun
cistercians'	cistercian	noun
cistern	cistern	noun
cistern's	cistern	noun
cisterns	cistern	noun
cisterns'	cistern	noun
citadel	citadel	noun
citadel's	citadel	noun
citadels	citadel	noun
citadels'	citadel	noun
citation	citation	noun
citation's	citation	noun
citations	citation	noun
citations'	citation	noun
cite	cite	verb
cited	cite	verb
cites	cite	verb
cities	city	noun
cities'	city	noun
citing	cite	verb
citizen	citizen	noun
citizen's	citizen	noun
citizenry	citizenry	noun
citizenry's	citizenry	noun
citizens	citizen	noun
citizens'	citizen	noun
citizenship	citizenship	noun
citizenship's	citizenship	noun
citric	citric	adjective
citricer	citric	adjective
citricest	citric	adjective
citron	citron	noun
citron's	citron	noun
citrons	citron	noun
citrons'	citron	noun
city	city	noun
city's	city	noun
cityscape	cityscape	noun
cityscape's	cityscape	noun
cityscapes	cityscape	noun
cityscapes'	cityscape	noun
citywide	citywide	adjective
citywider	citywide	adjective
citywidest	citywide	adjective
civic	civic	adjective
civicer	civic	adjective
civicest	civic	adjective
civil	civil	adjective
civilian	civilian	adjective
civilian	civilian	noun
civilian's	civilian	noun
civilianer	civilian	adjective
civilianest	civilian	adjective
civilians	civilian	noun
civilians'	civilian	noun
civilisation	civilisation	noun
civilisation's	civilisation	noun
civilisations	civilisation	noun
civilisations'	civilisation	noun
civilised	civilised	adjective
civiliseder	civilised	adjective
civilisedest	civilised	adjective
civilities	civility	noun
civilities'	civility	noun
civility	civility	noun
civility's	civility	noun
civilization	civilization	noun
civilization's	civilization	noun
civilizations	civilization	noun
civilizations'	civilization	noun
civilized	civilized	adjective
civilizeder	civilized	adjective
civilizedest	civilized	adjective
civiller	civil	adjective
civillest	civil	adjective
clack	clack	noun
clack	clack	verb
clack's	clack	noun
clacked	clack	verb
clacking	clack	verb
clacks	clack	noun
clacks	clack	verb
clacks'	clack	noun
clad	clad	adjective
cladder	clad	adjective
claddest	clad	adjective
cladding	cladding	noun
cladding's	cladding	noun
claddings	cladding	noun
claddings'	cladding	noun
claim	claim	noun
claim	claim	verb
claim's	claim	noun
claimant	claimant	noun
claimant's	claimant	noun
claimants	claimant	noun
claimants'	claimant	noun
claimed	claim	verb
claiming	claim	verb
claims	claim	noun
claims	claim	verb
claims'	claim	noun
clairvoyance	clairvoyance	noun
clairvoyance's	clairvoyance	noun
clairvoyant	clairvoyant	adjective
clairvoyant	clairvoyant	noun
clairvoyant's	clairvoyant	noun
clairvoyanter	clairvoyant	adjective
clairvoyantest	clairvoyant	adjective
clairvoyants	clairvoyant	noun
clairvoyants'	clairvoyant	noun
clam	clam	noun
clam	clam	verb
clam's	clam	noun
clammed	clam	verb
clamming	clam	verb
clamor	clamor	noun
clamor	clamor	verb
clamor's	clamor	noun
clamored	clamor	verb
clamoring	clamor	verb
clamors	clamor	noun
clamors	clamor	verb
clamors'	clamor	noun
clamp	clamp	noun
clamp	clamp	verb
clamp's	clamp	noun
clamped	clamp	verb
clamping	clamp	verb
clamps	clamp	noun
clamps	clamp	verb
clamps'	clamp	noun
clams	clam	noun
clams	clam	verb
clams'	clam	noun
clamshell	clamshell	noun
clamshell's	clamshell	noun
clamshells	clamshell	noun
clamshells'	clamshell	noun
clan	clan	noun
clan's	clan	noun
clandestine	clandestine	adjective
clandestiner	clandestine	adjective
clandestinest	clandestine	adjective
clank	clank	noun
clank	clank	verb
clank's	clank	noun
clanked	clank	verb
clanking	clank	verb
clanks	clank	noun
clanks	clank	verb
clanks'	clank	noun
clans	clan	noun
clans'	clan	noun
clap	clap	noun
clap	clap	verb
clap's	clap	noun
clapboard	clapboard	noun
clapboard's	clapboard	noun
clapboards	clapboard	noun
clapboards'	clapboard	noun
clapped	clap	verb
clapper	clapper	noun
clapper's	clapper	noun
clappers	clapper	noun
clappers'	clapper	noun
clapping	clap	verb
clapping	clapping	noun
clapping's	clapping	noun
clappings	clapping	noun
clappings'	clapping	noun
claps	clap	noun
claps	clap	verb
claps'	clap	noun
claret	claret	noun
claret's	claret	noun
clarets	claret	noun
clarets'	claret	noun
clarification	clarification	noun
clarification's	clarification	noun
clarifications	clarification	noun
clarifications'	clarification	noun
clarified	clarify	verb
clarifies	clarify	verb
clarify	clarify	verb
clarifying	clarify	verb
clarifying	clarifying	adjective
clarifyinger	clarifying	adjective
clarifyingest	clarifying	adjective
clarinet	clarinet	noun
clarinet's	clarinet	noun
clarinetist	clarinetist	noun
clarinetist's	clarinetist	noun
clarinetists	clarinetist	noun
clarinetists'	clarinetist	noun
clarinets	clarinet	noun
clarinets'	clarinet	noun
clarion	clarion	adjective
clarioner	clarion	adjective
clarionest	clarion	adjective
clarities	clarity	noun
clarities'	clarity	noun
clarity	clarity	noun
clarity's	clarity	noun
clash	clash	noun
clash	clash	verb
clash's	clash	noun
clashed	clash	verb
clashes	clash	noun
clashes	clash	verb
clashes'	clash	noun
clashing	clash	verb
clashing	clashing	adjective
clashinger	clashing	adjective
clashingest	clashing	adjective
clasp	clasp	noun
clasp	clasp	verb
clasp's	clasp	noun
clasped	clasp	verb
clasping	clasp	verb
clasps	clasp	noun
clasps	clasp	verb
clasps'	clasp	noun
classic	classic	adjective
classic	classic	noun
classic's	classic	noun
classical	classical	adjective
classical	classical	noun
classical's	classical	noun
classicaler	classical	adjective
classicalest	classical	adjective
classicals	classical	noun
classicals'	classical	noun
classicer	classic	adjective
classicest	classic	adjective
classicism	classicism	noun
classicism's	classicism	noun
classicist	classicist	noun
classicist's	classicist	noun
classicists	classicist	noun
classicists'	classicist	noun
classics	classic	noun
classics'	classic	noun
classier	classy	adjective
classiest	classy	adjective
classification	classification	noun
classification's	classification	noun
classifications	classification	noun
classifications'	classification	noun
classified	classified	adjective
classified	classified	noun
classified	classify	verb
classified's	classified	noun
classifieder	classified	adjective
classifiedest	classified	adjective
classifieds	classified	noun
classifieds'	classified	noun
classifier	classifier	noun
classifier's	classifier	noun
classifiers	classifier	noun
classifiers'	classifier	noun
classifies	classify	verb
classify	classify	verb
classifying	classify	verb
classmate	classmate	noun
classmate's	classmate	noun
classmates	classmate	noun
classmates'	classmate	noun
classroom	classroom	noun
classroom's	classroom	noun
classrooms	classroom	noun
classrooms'	classroom	noun
classy	classy	adjective
clause	clause	noun
clause's	clause	noun
clauses	clause	noun
clauses'	clause	noun
claustrophobia	claustrophobia	noun
claustrophobia's	claustrophobia	noun
claustrophobias	claustrophobia	noun
claustrophobias'	claustrophobia	noun
claustrophobic	claustrophobic	adjective
claustrophobicer	claustrophobic	adjective
claustrophobicest	claustrophobic	adjective
clavicle	clavicle	noun
clavicle's	clavicle	noun
clavicles	clavicle	noun
clavicles'	clavicle	noun
claw	claw	noun
claw	claw	verb
claw's	claw	noun
clawed	claw	verb
clawed	clawed	adjective
claweder	clawed	adjective
clawedest	clawed	adjective
clawing	claw	verb
claws	claw	noun
claws	claw	verb
claws'	claw	noun
clay	clay	noun
clay's	clay	noun
clayey	clayey	adjective
clayeyer	clayey	adjective
clayeyest	clayey	adjective
clays	clay	noun
clays'	clay	noun
clean	clean	adjective
clean	clean	verb
cleaned	clean	verb
cleaner	clean	adjective
cleaner	cleaner	noun
cleaner's	cleaner	noun
cleaners	cleaner	noun
cleaners'	cleaner	noun
cleanest	clean	adjective
cleaning	clean	verb
cleaning	cleaning	noun
cleaning's	cleaning	noun
cleanings	cleaning	noun
cleanings'	cleaning	noun
cleanlier	cleanly	adjective
cleanliest	cleanly	adjective
cleanly	cleanly	adjective
cleans	clean	verb
cleanse	cleanse	verb
cleansed	cleanse	verb
cleanses	cleanse	verb
cleansing	cleanse	verb
cleansing	cleansing	adjective
cleansing	cleansing	noun
cleansing's	cleansing	noun
cleansinger	cleansing	adjective
cleansingest	cleansing	adjective
cleansings	cleansing	noun
cleansings'	cleansing	noun
cleanup	cleanup	noun
cleanup's	cleanup	noun
cleanups	cleanup	noun
cleanups'	cleanup	noun
clear	clear	adjective
clear	clear	noun
clear	clear	verb
clear's	clear	noun
clearance	clearance	noun
clearance's	clearance	noun
clearances	clearance	noun
clearances'	clearance	noun
cleared	clear	verb
cleared	cleared	adjective
cleareder	cleared	adjective
clearedest	cleared	adjective
clearer	clear	adjective
clearest	clear	adjective
clearing	clear	verb
clearing	clearing	noun
clearing's	clearing	noun
clearings	clearing	noun
clearings'	clearing	noun
clearly	clearly	adverb
clears	clear	noun
clears	clear	verb
clears'	clear	noun
cleavage	cleavage	noun
cleavage's	cleavage	noun
cleavages	cleavage	noun
cleavages'	cleavage	noun
cleave	cleave	verb
cleaved	cleave	verb
cleaver	cleaver	noun
cleaver's	cleaver	noun
cleavers	cleaver	noun
cleavers'	cleaver	noun
cleaves	cleave	verb
cleaving	cleave	verb
clef	clef	noun
clef's	clef	noun
clefs	clef	noun
clefs'	clef	noun
cleft	cleave	verb
cleft	cleft	adjective
cleft	cleft	noun
cleft's	cleft	noun
clefter	cleft	adjective
cleftest	cleft	adjective
clefts	cleft	noun
clefts'	cleft	noun
clemency	clemency	noun
clemency's	clemency	noun
clement	clement	adjective
clementer	clement	adjective
clementest	clement	adjective
clementine	clementine	noun
clementine's	clementine	noun
clementines	clementine	noun
clementines'	clementine	noun
clenched	clenched	adjective
clencheder	clenched	adjective
clenchedest	clenched	adjective
clergy	clergy	noun
clergy's	clergy	noun
clergyman	clergyman	noun
clergyman's	clergyman	noun
clergymen	clergyman	noun
clergymen's	clergyman	noun
cleric	cleric	noun
cleric's	cleric	noun
clerical	clerical	adjective
clericaler	clerical	adjective
clericalest	clerical	adjective
clerics	cleric	noun
clerics'	cleric	noun
clerk	clerk	noun
clerk	clerk	verb
clerk's	clerk	noun
clerked	clerk	verb
clerking	clerk	verb
clerks	clerk	noun
clerks	clerk	verb
clerks'	clerk	noun
clerkship	clerkship	noun
clerkship's	clerkship	noun
clerkships	clerkship	noun
clerkships'	clerkship	noun
clever	clever	adjective
cleverer	clever	adjective
cleverest	clever	adjective
cliche	cliche	noun
cliche's	cliche	noun
cliches	cliche	noun
cliches'	cliche	noun
click	click	noun
click	click	verb
click's	click	noun
clicked	click	verb
clicking	click	verb
clicks	click	noun
clicks	click	verb
clicks'	click	noun
client	client	noun
client's	client	noun
clientele	clientele	noun
clientele's	clientele	noun
clienteles	clientele	noun
clienteles'	clientele	noun
clients	client	noun
clients'	client	noun
cliff	cliff	noun
cliff's	cliff	noun
cliffhanger	cliffhanger	noun
cliffhanger's	cliffhanger	noun
cliffhangers	cliffhanger	noun
cliffhangers'	cliffhanger	noun
cliffs	cliff	noun
cliffs'	cliff	noun
climactic	climactic	adjective
climacticer	climactic	adjective
climacticest	climactic	adjective
climate	climate	noun
climate's	climate	noun
climates	climate	noun
climates'	climate	noun
climatic	climatic	adjective
climaticer	climatic	adjective
climaticest	climatic	adjective
climatologies	climatology	noun
climatologies'	climatology	noun
climatology	climatology	noun
climatology's	climatology	noun
climax	climax	noun
climax	climax	verb
climax's	climax	noun
climaxed	climax	verb
climaxes	climax	noun
climaxes	climax	verb
climaxes'	climax	noun
climaxing	climax	verb
climb	climb	noun
climb	climb	verb
climb's	climb	noun
climbed	climb	verb
climber	climber	noun
climber's	climber	noun
climbers	climber	noun
climbers'	climber	noun
climbing	climb	verb
climbing	climbing	noun
climbing's	climbing	noun
climbings	climbing	noun
climbings'	climbing	noun
climbs	climb	noun
climbs	climb	verb
climbs'	climb	noun
clinch	clinch	noun
clinch	clinch	verb
clinch's	clinch	noun
clinched	clinch	verb
clinched	clinched	adjective
clincheder	clinched	adjective
clinchedest	clinched	adjective
clinches	clinch	noun
clinches	clinch	verb
clinches'	clinch	noun
clinching	clinch	verb
cling	cling	verb
clinging	cling	verb
clings	cling	verb
clinic	clinic	noun
clinic's	clinic	noun
clinical	clinical	adjective
clinicaler	clinical	adjective
clinicalest	clinical	adjective
clinician	clinician	noun
clinician's	clinician	noun
clinicians	clinician	noun
clinicians'	clinician	noun
clinics	clinic	noun
clinics'	clinic	noun
clinker	clinker	noun
clinker's	clinker	noun
clinkers	clinker	noun
clinkers'	clinker	noun
clio	clio	noun
clio's	clio	noun
clios	clio	noun
clios'	clio	noun
clip	clip	noun
clip	clip	verb
clip's	clip	noun
clipboard	clipboard	noun
clipboard's	clipboard	noun
clipboards	clipboard	noun
clipboards'	clipboard	noun
clipped	clip	verb
clipped	clipped	adjective
clippeder	clipped	adjective
clippedest	clipped	adjective
clipper	clipper	noun
clipper's	clipper	noun
clippers	clipper	noun
clippers'	clipper	noun
clipping	clip	verb
clipping	clipping	noun
clipping's	clipping	noun
clippings	clipping	noun
clippings'	clipping	noun
clips	clip	noun
clips	clip	verb
clips'	clip	noun
clique	clique	noun
clique's	clique	noun
cliques	clique	noun
cliques'	clique	noun
cloak	cloak	noun
cloak	cloak	verb
cloak's	cloak	noun
cloaked	cloak	verb
cloaked	cloaked	adjective
cloakeder	cloaked	adjective
cloakedest	cloaked	adjective
cloaking	cloak	verb
cloaks	cloak	noun
cloaks	cloak	verb
cloaks'	cloak	noun
clock	clock	noun
clock	clock	verb
clock's	clock	noun
clocked	clock	verb
clocking	clock	verb
clocking	clocking	noun
clocking's	clocking	noun
clockings	clocking	noun
clockings'	clocking	noun
clockmaker	clockmaker	noun
clockmaker's	clockmaker	noun
clockmakers	clockmaker	noun
clockmakers'	clockmaker	noun
clocks	clock	noun
clocks	clock	verb
clocks'	clock	noun
clockwise	clockwise	adjective
clockwiser	clockwise	adjective
clockwisest	clockwise	adjective
clockwork	clockwork	noun
clockwork's	clockwork	noun
clockworks	clockwork	noun
clockworks'	clockwork	noun
clog	clog	noun
clog	clog	verb
clog's	clog	noun
clogged	clog	verb
clogged	clogged	adjective
cloggeder	clogged	adjective
cloggedest	clogged	adjective
clogging	clog	verb
clogging	clogging	adjective
clogginger	clogging	adjective
cloggingest	clogging	adjective
clogs	clog	noun
clogs	clog	verb
clogs'	clog	noun
cloister	cloister	noun
cloister	cloister	verb
cloister's	cloister	noun
cloistered	cloister	verb
cloistered	cloistered	adjective
cloistereder	cloistered	adjective
cloisteredest	cloistered	adjective
cloistering	cloister	verb
cloisters	cloister	noun
cloisters	cloister	verb
cloisters'	cloister	noun
clone	clone	noun
clone	clone	verb
clone's	clone	noun
cloned	clone	verb
clones	clone	noun
clones	clone	verb
clones'	clone	noun
cloning	clone	verb
cloning	cloning	noun
cloning's	cloning	noun
clonings	cloning	noun
clonings'	cloning	noun
close	close	adverb
closed	closed	adjective
closeder	closed	adjective
closedest	closed	adjective
closely	closely	adverb
closer	close	adverb
closer	closer	noun
closer's	closer	noun
closers	closer	noun
closers'	closer	noun
closest	close	adverb
closet	closet	noun
closet	closet	verb
closet's	closet	noun
closeted	closet	verb
closeting	closet	verb
closets	closet	noun
closets	closet	verb
closets'	closet	noun
closing	closing	adjective
closing	closing	noun
closing's	closing	noun
closinger	closing	adjective
closingest	closing	adjective
closings	closing	noun
closings'	closing	noun
closure	closure	noun
closure	closure	verb
closure's	closure	noun
closured	closure	verb
closures	closure	noun
closures	closure	verb
closures'	closure	noun
closuring	closure	verb
clot	clot	noun
clot	clot	verb
clot's	clot	noun
cloth	cloth	noun
cloth's	cloth	noun
clothe	clothe	verb
clothed	clothe	verb
clothed	clothed	adjective
clotheder	clothed	adjective
clothedest	clothed	adjective
clothes	clothe	verb
clothesline	clothesline	noun
clothesline's	clothesline	noun
clotheslines	clothesline	noun
clotheslines'	clothesline	noun
clothier	clothier	noun
clothier's	clothier	noun
clothiers	clothier	noun
clothiers'	clothier	noun
clothing	clothe	verb
clothing	clothing	noun
clothing's	clothing	noun
cloths	cloth	noun
cloths'	cloth	noun
clots	clot	noun
clots	clot	verb
clots'	clot	noun
clotted	clot	verb
clotting	clot	verb
clotting	clotting	noun
clotting's	clotting	noun
clottings	clotting	noun
clottings'	clotting	noun
cloud	cloud	noun
cloud	cloud	verb
cloud's	cloud	noun
clouded	cloud	verb
clouded	clouded	adjective
cloudeder	clouded	adjective
cloudedest	clouded	adjective
cloudier	cloudy	adjective
cloudiest	cloudy	adjective
clouding	cloud	verb
clouds	cloud	noun
clouds	cloud	verb
clouds'	cloud	noun
cloudy	cloudy	adjective
clout	clout	noun
clout	clout	verb
clout's	clout	noun
clouted	clout	verb
clouting	clout	verb
clouts	clout	noun
clouts	clout	verb
clouts'	clout	noun
clove	cleave	verb
clove	clove	noun
clove's	clove	noun
cloven	cleave	verb
clover	clover	noun
clover leaves	cloverleaf	noun
clover leaves'	cloverleaf	noun
clover's	clover	noun
clover-leaves	cloverleaf	noun
clover-leaves'	cloverleaf	noun
cloverleaf	cloverleaf	noun
cloverleaf's	cloverleaf	noun
cloverleafs	cloverleaf	noun
cloverleafs'	cloverleaf	noun
cloverleaves	cloverleaf	noun
cloverleaves'	cloverleaf	noun
clovers	clover	noun
clovers'	clover	noun
cloves	clove	noun
cloves'	clove	noun
clown	clown	noun
clown	clown	verb
clown's	clown	noun
clowned	clown	verb
clowning	clown	verb
clowning	clowning	noun
clowning's	clowning	noun
clownings	clowning	noun
clownings'	clowning	noun
clowns	clown	noun
clowns	clown	verb
clowns'	clown	noun
club	club	noun
club	club	verb
club's	club	noun
clubbed	club	verb
clubbing	club	verb
clubbing	clubbing	noun
clubbing's	clubbing	noun
clubbings	clubbing	noun
clubbings'	clubbing	noun
clubhouse	clubhouse	noun
clubhouse's	clubhouse	noun
clubhouses	clubhouse	noun
clubhouses'	clubhouse	noun
clubs	club	noun
clubs	club	verb
clubs'	club	noun
clue	clue	noun
clue	clue	verb
clue's	clue	noun
clued	clue	verb
clueless	clueless	adjective
cluelesser	clueless	adjective
cluelessest	clueless	adjective
clues	clue	noun
clues	clue	verb
clues'	clue	noun
cluing	clue	verb
clump	clump	noun
clump	clump	verb
clump's	clump	noun
clumped	clump	verb
clumping	clump	verb
clumps	clump	noun
clumps	clump	verb
clumps'	clump	noun
clumsier	clumsy	adjective
clumsiest	clumsy	adjective
clumsy	clumsy	adjective
clung	cling	verb
clunkier	clunky	adjective
clunkiest	clunky	adjective
clunky	clunky	adjective
cluster	cluster	noun
cluster	cluster	verb
cluster's	cluster	noun
clustered	cluster	verb
clustered	clustered	adjective
clustereder	clustered	adjective
clusteredest	clustered	adjective
clustering	cluster	verb
clustering	clustering	noun
clustering's	clustering	noun
clusterings	clustering	noun
clusterings'	clustering	noun
clusters	cluster	noun
clusters	cluster	verb
clusters'	cluster	noun
clutch	clutch	noun
clutch	clutch	verb
clutch's	clutch	noun
clutched	clutch	verb
clutches	clutch	noun
clutches	clutch	verb
clutches'	clutch	noun
clutching	clutch	verb
clutter	clutter	noun
clutter	clutter	verb
clutter's	clutter	noun
cluttered	clutter	verb
cluttered	cluttered	adjective
cluttereder	cluttered	adjective
clutteredest	cluttered	adjective
cluttering	clutter	verb
clutters	clutter	noun
clutters	clutter	verb
clutters'	clutter	noun
clydesdale	clydesdale	noun
clydesdale's	clydesdale	noun
clydesdales	clydesdale	noun
clydesdales'	clydesdale	noun
clytemnestra	clytemnestra	noun
clytemnestra's	clytemnestra	noun
clytemnestras	clytemnestra	noun
clytemnestras'	clytemnestra	noun
coach	coach	noun
coach	coach	verb
coach's	coach	noun
coached	coach	verb
coaches	coach	noun
coaches	coach	verb
coaches'	coach	noun
coaching	coach	verb
coaching	coaching	noun
coaching's	coaching	noun
coachings	coaching	noun
coachings'	coaching	noun
coachman	coachman	noun
coachman's	coachman	noun
coachmans	coachman	noun
coachmans'	coachman	noun
coagulation	coagulation	noun
coagulation's	coagulation	noun
coagulations	coagulation	noun
coagulations'	coagulation	noun
coal	coal	noun
coal	coal	verb
coal's	coal	noun
coaled	coal	verb
coalesce	coalesce	verb
coalesced	coalesce	verb
coalesced	coalesced	adjective
coalesceder	coalesced	adjective
coalescedest	coalesced	adjective
coalescence	coalescence	noun
coalescence's	coalescence	noun
coalesces	coalesce	verb
coalescing	coalesce	verb
coalescing	coalescing	adjective
coalescinger	coalescing	adjective
coalescingest	coalescing	adjective
coalfield	coalfield	noun
coalfield's	coalfield	noun
coalfields	coalfield	noun
coalfields'	coalfield	noun
coaling	coal	verb
coalition	coalition	noun
coalition's	coalition	noun
coalitions	coalition	noun
coalitions'	coalition	noun
coals	coal	noun
coals	coal	verb
coals'	coal	noun
coarse	coarse	adjective
coarser	coarse	adjective
coarsest	coarse	adjective
coast	coast	noun
coast	coast	verb
coast's	coast	noun
coastal	coastal	adjective
coastaler	coastal	adjective
coastalest	coastal	adjective
coasted	coast	verb
coaster	coaster	noun
coaster's	coaster	noun
coasters	coaster	noun
coasters'	coaster	noun
coastguard	coastguard	noun
coastguard's	coastguard	noun
coastguards	coastguard	noun
coastguards'	coastguard	noun
coasting	coast	verb
coastline	coastline	noun
coastline's	coastline	noun
coastlines	coastline	noun
coastlines'	coastline	noun
coasts	coast	noun
coasts	coast	verb
coasts'	coast	noun
coat	coat	noun
coat	coat	verb
coat's	coat	noun
coated	coat	verb
coated	coated	adjective
coateder	coated	adjective
coatedest	coated	adjective
coating	coat	verb
coating	coating	noun
coating's	coating	noun
coatings	coating	noun
coatings'	coating	noun
coats	coat	noun
